PID,area,price,MS.SubClass,MS.Zoning,Lot.Frontage,Lot.Area,Street,Alley,Lot.Shape,Land.Contour,Utilities,Lot.Config
903202170,1654,137000,70,RL,50,4960,Pave,NA,Reg,Lvl,AllPub,Inside
909427230,2340,266500,70,RL,66,9042,Pave,NA,Reg,Lvl,AllPub,Inside
908102320,1466,149900,20,RL,134,17755,Pave,NA,Reg,Lvl,AllPub,Inside
923203190,1224,165000,120,RM,NA,4500,Pave,NA,Reg,Lvl,AllPub,FR2
531451030,1575,179200,120,RL,50,8012,Pave,NA,Reg,Lvl,AllPub,Inside
533130020,1923,190000,60,RL,107,10186,Pave,NA,IR1,Lvl,AllPub,Inside
905452110,1531,127000,50,RL,50,9350,Pave,NA,Reg,Bnk,AllPub,Inside
535453070,1246,154000,20,RL,75,7500,Pave,NA,Reg,Lvl,AllPub,Inside
902401030,1616,152000,40,RM,40,5400,Pave,Pave,Reg,Lvl,AllPub,Corner
535402010,2544,190000,90,RL,81,9671,Pave,NA,Reg,Lvl,AllPub,Corner
906420130,2097,228000,60,RL,59,11228,Pave,NA,IR2,Lvl,AllPub,CulDSac
923275200,816,124500,20,RL,76,8314,Pave,NA,Reg,Lvl,AllPub,Corner
531451110,923,143000,120,RL,50,8012,Pave,NA,Reg,Lvl,AllPub,Inside
528240020,1720,183500,60,RL,62,8244,Pave,NA,IR1,Lvl,AllPub,Inside
534204120,1073,156000,20,RL,79,10289,Pave,NA,Reg,Lvl,AllPub,Inside
535152200,1176,136500,20,RL,74,8856,Pave,NA,Reg,Lvl,AllPub,Inside
527452190,1069,127500,120,RL,53,4043,Pave,NA,Reg,Lvl,AllPub,Inside
528363130,2622,325000,60,RL,98,12256,Pave,NA,IR1,Lvl,AllPub,Corner
909103020,1273,121000,50,RL,76,11388,Pave,NA,Reg,Low,AllPub,Inside
527132090,1478,240000,120,RL,61,7380,Pave,NA,IR1,Lvl,AllPub,Corner
534128090,1610,185000,20,RL,108,11358,Pave,NA,IR1,Lvl,AllPub,Corner
534431130,960,122000,20,RL,68,9768,Pave,NA,Reg,Lvl,AllPub,Inside
527106150,1638,192000,60,RL,59,9042,Pave,NA,IR1,Lvl,AllPub,Inside
909179020,3082,197000,75,RL,102,15863,Pave,NA,Reg,Lvl,AllPub,Corner
535451190,1040,109500,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside
535383100,1294,106250,190,RL,60,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside
905451050,1488,135000,20,RL,80,12048,Pave,NA,Reg,Lvl,AllPub,Inside
535301060,1154,142000,20,RL,60,11556,Pave,NA,Reg,Lvl,AllPub,Inside
527359010,1743,175000,60,RL,90,11700,Pave,NA,Reg,Lvl,AllPub,Inside
527450080,1365,125500,160,RM,24,2160,Pave,NA,Reg,Lvl,AllPub,Inside
528175060,1314,230000,120,RL,34,5001,Pave,NA,IR1,Lvl,AllPub,Inside
534126090,1682,174000,20,RL,80,10400,Pave,NA,Reg,Lvl,AllPub,Inside
923228150,1344,97000,160,RM,21,1533,Pave,NA,Reg,Lvl,AllPub,Inside
528366040,2799,315000,60,RL,NA,12585,Pave,NA,IR1,Lvl,AllPub,Inside
905201030,756,85000,30,RL,94,9259,Pave,NA,Reg,Lvl,AllPub,Corner
916402015,1495,150000,20,RL,75,12890,Pave,NA,IR1,Lvl,AllPub,Inside
905452070,864,99600,90,RL,50,9350,Pave,NA,Reg,Lvl,AllPub,Inside
923225310,988,105000,180,RM,21,1974,Pave,NA,Reg,Lvl,AllPub,Inside
527327080,1574,190000,60,RL,NA,18800,Pave,NA,IR1,Lvl,AllPub,FR2
534403080,1265,179900,80,RL,85,9350,Pave,NA,Reg,Lvl,AllPub,Inside
528290120,1800,179000,60,RL,60,8123,Pave,NA,IR1,Lvl,AllPub,Inside
533213130,1501,176500,160,FV,24,2280,Pave,Pave,Reg,Lvl,AllPub,Inside
527165020,1472,160000,80,RL,NA,10784,Pave,NA,IR1,Lvl,AllPub,FR2
923252075,1091,131250,80,RL,62,7706,Pave,NA,Reg,Lvl,AllPub,Inside
923275040,1110,165500,85,RL,NA,9101,Pave,NA,IR1,Lvl,AllPub,Corner
527356050,1620,152000,60,RL,80,10793,Pave,NA,Reg,Lvl,AllPub,Inside
908102130,1664,100000,90,RL,75,9825,Pave,NA,Reg,Lvl,AllPub,Inside
916253320,1502,330000,120,RM,NA,9763,Pave,NA,IR1,Lvl,AllPub,Inside
909131125,1928,160000,190,RH,NA,7082,Pave,NA,Reg,Lvl,AllPub,Inside
535150280,1144,124000,20,RL,71,9204,Pave,NA,Reg,Lvl,AllPub,Inside
906385010,1226,198900,20,RL,94,10402,Pave,NA,IR1,Lvl,AllPub,Corner
902305080,2058,129500,75,RM,60,9600,Pave,Grvl,Reg,Lvl,AllPub,Inside
527158090,1694,160000,80,RL,NA,10147,Pave,NA,IR1,Lvl,AllPub,CulDSac
908228010,865,108500,40,RL,62,10042,Pave,NA,Reg,Bnk,AllPub,Corner
531477020,841,82000,20,RH,60,8400,Pave,NA,Reg,Lvl,AllPub,Inside
